order_id,customer_id,product_name,category,region,sales_rep,order_date,unit_price,quantity,discount,total_amount,status,payment_method
ORD-000085,75,Headphones,Accessories,South,Bob Smith,2024-08-15,152.12,1,0.01,150.6,Completed,Credit Card
ORD-000086,64,Monitor,Accessories,East,Alice Johnson,2024-11-05,181.57,5,0.09,826.14,Cancelled,Cash
ORD-000087,73,Laptop,Accessories,Central,Eva Brown,2024-03-27,1996.62,1,0.06,1876.82,Cancelled,Bank Transfer
ORD-000088,164,Phone,Accessories,North,David Wilson,2024-04-01,370.01,3,0.19,899.12,Completed,Cash
ORD-000089,95,Keyboard,Accessories,South,Alice Johnson,2024-01-17,93.82,3,0.07,261.76,Cancelled,Bank Transfer
ORD-000090,74,Webcam,Computing,North,Bob Smith,2024-03-14,135.86,3,0.0,407.58,Completed,PayPal
ORD-000091,138,Headphones,Computing,Central,Alice Johnson,2024-03-07,80.75,4,0.02,316.54,Cancelled,Credit Card
ORD-000092,76,Phone,Accessories,North,Carol Davis,2024-11-12,308.37,2,0.19,499.56,Completed,Bank Transfer
ORD-000093,3,Laptop,Electronics,South,Bob Smith,2024-01-08,1434.97,3,0.18,3530.03,Completed,Credit Card
ORD-000094,183,Tablet,Computing,West,Eva Brown,2024-07-22,765.8,1,0.06,719.85,Completed,Credit Card
ORD-000095,24,Phone,Computing,West,David Wilson,2024-05-30,970.53,3,0.14,2503.97,Completed,Credit Card
ORD-000096,150,Phone,Mobile,South,David Wilson,2024-04-08,560.86,5,0.06,2636.04,Cancelled,Credit Card
ORD-000097,62,Webcam,Computing,East,Alice Johnson,2024-12-02,73.92,1,0.06,69.48,Completed,Bank Transfer
ORD-000098,190,Webcam,Accessories,West,Eva Brown,2024-01-14,86.59,3,0.19,210.41,Cancelled,Bank Transfer
ORD-000099,81,Monitor,Accessories,East,Eva Brown,2024-10-29,353.7,1,0.13,307.72,Completed,Bank Transfer
ORD-000100,104,Keyboard,Electronics,North,Carol Davis,2024-06-01,25.67,2,0.11,45.69,Cancelled,Bank Transfer
ORD-000101,99,Phone,Electronics,East,David Wilson,2024-09-22,1157.48,5,0.08,5324.41,Cancelled,Credit Card
ORD-000102,138,Webcam,Mobile,West,David Wilson,2024-10-06,121.99,4,0.15,414.77,Completed,PayPal
ORD-000103,58,Webcam,Electronics,Central,Carol Davis,2024-05-14,58.0,4,0.04,222.72,Completed,Credit Card
ORD-000104,188,Webcam,Electronics,North,Alice Johnson,2024-09-26,64.61,1,0.06,60.73,Cancelled,PayPal
ORD-000105,138,Monitor,Computing,North,Bob Smith,2024-10-22,280.32,2,0.04,538.21,Cancelled,Bank Transfer
ORD-000106,152,Mouse,Mobile,North,Eva Brown,2024-05-12,42.44,5,0.06,199.47,Cancelled,Credit Card
ORD-000107,119,Headphones,Computing,East,Bob Smith,2024-03-11,106.63,5,0.12,469.17,Cancelled,PayPal
ORD-000108,168,Headphones,Accessories,Central,Eva Brown,2024-09-08,114.75,4,0.1,413.1,Cancelled,Bank Transfer
ORD-000109,185,Keyboard,Mobile,Central,Alice Johnson,2024-10-04,40.95,1,0.18,33.58,Completed,PayPal
ORD-000110,54,Webcam,Accessories,South,Eva Brown,2024-07-28,88.83,2,0.01,175.88,Completed,Bank Transfer
ORD-000111,21,Webcam,Computing,Central,David Wilson,2024-03-04,127.42,3,0.0,382.26,Cancelled,Credit Card
ORD-000112,68,Phone,Accessories,West,Bob Smith,2024-04-15,778.85,1,0.04,747.7,Completed,Cash
ORD-000113,199,Keyboard,Computing,South,Alice Johnson,2024-06-16,58.4,1,0.14,50.22,Cancelled,PayPal
ORD-000114,45,Headphones,Accessories,Central,Alice Johnson,2024-11-14,47.53,3,0.08,131.18,Cancelled,Credit Card
ORD-000115,50,Mouse,Electronics,East,Carol Davis,2024-08-12,28.73,5,0.1,129.28,Completed,PayPal
ORD-000116,171,Keyboard,Accessories,South,Bob Smith,2024-02-11,92.67,3,0.08,255.77,Completed,Credit Card
ORD-000117,52,Keyboard,Mobile,South,Bob Smith,2024-11-16,96.2,3,0.05,274.17,Completed,Cash
ORD-000118,5,Tablet,Mobile,Central,Eva Brown,2024-10-15,237.51,4,0.07,883.54,Completed,Credit Card
ORD-000119,157,Keyboard,Mobile,South,Eva Brown,2024-08-16,68.13,2,0.07,126.72,Cancelled,Credit Card
ORD-000120,121,Tablet,Mobile,West,Alice Johnson,2024-03-15,449.73,4,0.16,1511.09,Cancelled,Bank Transfer
ORD-000121,119,Laptop,Accessories,East,David Wilson,2024-02-11,1673.5,3,0.12,4418.04,Completed,PayPal
ORD-000122,170,Webcam,Electronics,Central,Carol Davis,2024-06-21,83.04,3,0.13,216.73,Cancelled,PayPal
ORD-000123,186,Tablet,Electronics,South,David Wilson,2024-10-10,371.95,5,0.19,1506.4,Completed,PayPal
ORD-000124,6,Webcam,Electronics,East,Eva Brown,2024-04-09,115.45,1,0.11,102.75,Completed,Bank Transfer
ORD-000125,8,Mouse,Accessories,East,David Wilson,2024-06-15,41.69,2,0.12,73.37,Completed,Credit Card
ORD-000126,5,Phone,Electronics,South,David Wilson,2024-07-09,346.25,2,0.18,567.85,Completed,PayPal
ORD-000127,64,Laptop,Electronics,North,Eva Brown,2024-05-01,1560.98,4,0.08,5744.41,Completed,PayPal
ORD-000128,183,Laptop,Mobile,East,Alice Johnson,2024-11-07,1963.77,1,0.17,1629.93,Cancelled,Cash
ORD-000129,99,Monitor,Electronics,North,Carol Davis,2024-04-14,295.02,4,0.18,967.67,Completed,Credit Card
ORD-000130,170,Webcam,Electronics,North,Bob Smith,2024-02-06,145.0,5,0.08,667.0,Cancelled,PayPal
ORD-000131,195,Monitor,Computing,North,Eva Brown,2024-02-03,232.59,3,0.02,683.81,Cancelled,Bank Transfer
ORD-000132,145,Keyboard,Mobile,West,Alice Johnson,2024-05-07,68.66,2,0.05,130.45,Completed,Credit Card
ORD-000133,156,Phone,Computing,South,Carol Davis,2024-10-15,999.5,1,0.12,879.56,Cancelled,PayPal
ORD-000134,71,Phone,Accessories,Central,Carol Davis,2024-03-29,382.12,3,0.08,1054.65,Cancelled,Credit Card
ORD-000135,135,Webcam,Electronics,East,Carol Davis,2024-02-07,72.37,2,0.05,137.5,Cancelled,PayPal
ORD-000136,89,Monitor,Computing,Central,Eva Brown,2024-08-26,313.33,5,0.11,1394.32,Completed,Bank Transfer
ORD-000137,102,Headphones,Electronics,Central,Bob Smith,2024-11-05,163.03,4,0.18,534.74,Cancelled,Cash
ORD-000138,123,Tablet,Computing,East,Eva Brown,2024-06-17,291.03,1,0.1,261.93,Completed,Credit Card
ORD-000139,6,Laptop,Mobile,North,Eva Brown,2024-10-23,1304.04,2,0.14,2242.95,Completed,Bank Transfer
ORD-000140,195,Phone,Mobile,South,Carol Davis,2024-04-09,364.75,5,0.02,1787.27,Completed,PayPal
ORD-000141,59,Phone,Computing,East,Alice Johnson,2024-09-24,1178.14,5,0.1,5301.63,Completed,Cash
ORD-000142,119,Headphones,Mobile,East,David Wilson,2024-02-25,176.35,5,0.06,828.84,Completed,PayPal
ORD-000143,169,Keyboard,Computing,North,David Wilson,2024-12-15,95.24,5,0.16,400.01,Cancelled,PayPal
ORD-000144,17,Headphones,Mobile,South,Carol Davis,2024-04-13,84.51,2,0.01,167.33,Cancelled,PayPal
ORD-000145,9,Headphones,Accessories,West,Carol Davis,2024-12-23,111.6,3,0.15,284.58,Cancelled,Credit Card
ORD-000146,179,Mouse,Accessories,West,Alice Johnson,2024-11-15,45.26,2,0.03,87.8,Completed,Credit Card
ORD-000147,100,Keyboard,Accessories,South,Eva Brown,2024-01-04,81.74,5,0.11,363.74,Completed,Cash
ORD-000148,100,Laptop,Mobile,North,Carol Davis,2024-02-10,1843.12,5,0.17,7648.95,Completed,PayPal
ORD-000149,94,Webcam,Electronics,North,Carol Davis,2024-09-27,61.29,4,0.05,232.9,Cancelled,Cash
ORD-000150,14,Monitor,Mobile,Central,Carol Davis,2024-07-08,229.46,4,0.19,743.45,Cancelled,Credit Card
ORD-000151,104,Headphones,Mobile,South,Bob Smith,2024-12-30,49.23,2,0.12,86.64,Completed,Bank Transfer
ORD-000152,99,Headphones,Mobile,Central,Bob Smith,2024-06-02,125.08,2,0.12,220.14,Cancelled,Credit Card
ORD-000153,19,Headphones,Computing,Central,Eva Brown,2024-07-01,178.61,2,0.19,289.35,Completed,Bank Transfer
ORD-000154,10,Keyboard,Electronics,South,Alice Johnson,2024-03-04,56.06,4,0.09,204.06,Cancelled,Bank Transfer
ORD-000155,8,Keyboard,Accessories,West,David Wilson,2024-09-12,95.74,1,0.05,90.95,Cancelled,PayPal
ORD-000156,120,Tablet,Computing,South,Bob Smith,2024-09-26,660.53,5,0.05,3137.52,Completed,Bank Transfer
ORD-000157,172,Laptop,Accessories,West,Carol Davis,2024-12-22,1272.91,4,0.06,4786.14,Completed,PayPal
ORD-000158,61,Headphones,Mobile,North,Carol Davis,2024-04-08,92.72,5,0.04,445.06,Completed,Bank Transfer
ORD-000159,199,Monitor,Electronics,North,Eva Brown,2024-02-28,249.37,2,0.05,473.8,Completed,PayPal
ORD-000160,131,Phone,Computing,Central,Eva Brown,2024-07-21,1083.55,2,0.11,1928.72,Cancelled,Bank Transfer
ORD-000161,9,Tablet,Accessories,Central,David Wilson,2024-01-04,712.81,5,0.04,3421.49,Completed,PayPal
ORD-000162,165,Headphones,Computing,East,Carol Davis,2024-11-13,161.17,2,0.17,267.54,Cancelled,PayPal
ORD-000163,175,Monitor,Computing,South,Carol Davis,2024-06-13,286.55,1,0.19,232.11,Cancelled,Cash
ORD-000164,122,Headphones,Accessories,East,Eva Brown,2024-08-25,133.15,4,0.02,521.95,Cancelled,PayPal
ORD-000165,39,Laptop,Electronics,West,Carol Davis,2024-05-05,1393.02,3,0.04,4011.9,Completed,Bank Transfer
ORD-000166,136,Phone,Accessories,East,Eva Brown,2024-12-10,489.11,1,0.06,459.76,Completed,Credit Card
ORD-000167,195,Headphones,Accessories,South,Carol Davis,2024-10-28,194.6,5,0.12,856.24,Completed,Bank Transfer
ORD-000168,159,Laptop,Electronics,North,David Wilson,2024-09-30,1617.87,1,0.16,1359.01,Cancelled,Cash
ORD-000169,191,Laptop,Mobile,Central,Carol Davis,2024-08-20,1904.23,5,0.18,7807.34,Cancelled,Bank Transfer
ORD-000170,50,Headphones,Electronics,Central,Carol Davis,2024-06-28,189.56,3,0.19,460.63,Cancelled,Credit Card
ORD-000171,53,Laptop,Computing,Central,Alice Johnson,2024-12-30,808.56,2,0.03,1568.61,Cancelled,Cash
ORD-000172,173,Keyboard,Electronics,South,Alice Johnson,2024-01-07,82.06,1,0.04,78.78,Completed,PayPal
ORD-000173,150,Phone,Mobile,North,Carol Davis,2024-10-20,418.8,1,0.03,406.24,Cancelled,Cash
ORD-000174,200,Phone,Electronics,Central,Carol Davis,2024-11-30,989.94,5,0.18,4058.75,Cancelled,PayPal
ORD-000175,135,Monitor,Mobile,Central,Eva Brown,2024-05-23,297.8,1,0.05,282.91,Completed,Cash
ORD-000176,20,Tablet,Mobile,Central,David Wilson,2024-07-14,652.06,4,0.05,2477.83,Completed,Bank Transfer
ORD-000177,13,Webcam,Electronics,East,Carol Davis,2024-07-30,57.28,1,0.1,51.55,Completed,PayPal
ORD-000178,119,Headphones,Accessories,West,Carol Davis,2024-05-20,65.74,5,0.13,285.97,Completed,Cash
ORD-000179,171,Keyboard,Accessories,Central,Carol Davis,2024-05-07,41.98,2,0.17,69.69,Cancelled,Cash
ORD-000180,107,Tablet,Mobile,Central,Carol Davis,2024-03-10,479.82,5,0.12,2111.21,Completed,Bank Transfer
ORD-000181,97,Tablet,Mobile,Central,Alice Johnson,2024-06-24,371.19,4,0.03,1440.22,Cancelled,Cash
ORD-000182,103,Phone,Mobile,North,Carol Davis,2024-09-15,989.14,4,0.17,3283.94,Cancelled,Bank Transfer
ORD-000183,69,Headphones,Mobile,Central,Eva Brown,2024-12-29,155.16,1,0.14,133.44,Completed,Cash
ORD-000184,77,Monitor,Accessories,East,Bob Smith,2024-12-10,246.31,3,0.11,657.65,Cancelled,PayPal
ORD-000185,77,Phone,Mobile,East,David Wilson,2024-07-29,622.57,3,0.09,1699.62,Cancelled,Bank Transfer
ORD-000186,52,Headphones,Electronics,West,Alice Johnson,2024-07-04,96.49,4,0.11,343.5,Completed,PayPal
ORD-000187,2,Tablet,Electronics,North,Eva Brown,2024-03-04,382.81,1,0.05,363.67,Cancelled,Bank Transfer
ORD-000188,162,Headphones,Electronics,North,Bob Smith,2024-05-16,186.7,1,0.1,168.03,Completed,Cash
ORD-000189,84,Monitor,Accessories,West,Carol Davis,2024-04-02,197.47,4,0.15,671.4,Cancelled,Cash
ORD-000190,199,Monitor,Electronics,North,Carol Davis,2024-12-04,289.28,2,0.1,520.7,Completed,PayPal
ORD-000191,33,Mouse,Mobile,West,Carol Davis,2024-12-27,41.0,2,0.01,81.18,Completed,Credit Card
ORD-000192,160,Tablet,Computing,Central,Bob Smith,2024-06-18,382.3,1,0.2,305.84,Completed,Cash
ORD-000193,132,Phone,Computing,South,Eva Brown,2024-08-25,761.65,2,0.12,1340.5,Completed,Credit Card
ORD-000194,58,Webcam,Electronics,East,Carol Davis,2024-07-01,133.16,4,0.04,511.33,Cancelled,Cash
ORD-000195,131,Keyboard,Electronics,South,Alice Johnson,2024-11-21,93.33,5,0.07,433.98,Completed,Cash
ORD-000196,156,Tablet,Electronics,North,Eva Brown,2024-07-04,325.08,4,0.04,1248.31,Cancelled,Credit Card
ORD-000197,157,Mouse,Computing,South,David Wilson,2024-08-25,33.7,2,0.06,63.36,Completed,PayPal
ORD-000198,71,Monitor,Mobile,North,Bob Smith,2024-04-09,304.21,5,0.13,1323.31,Completed,Bank Transfer
ORD-000199,8,Phone,Electronics,Central,Carol Davis,2024-10-04,304.55,4,0.19,986.74,Cancelled,PayPal
ORD-000200,15,Monitor,Mobile,North,Bob Smith,2024-05-08,197.3,2,0.14,339.36,Completed,Bank Transfer
ORD-000201,72,Phone,Computing,Central,David Wilson,2024-10-27,706.03,3,0.14,1821.56,Completed,Bank Transfer
ORD-000202,15,Monitor,Electronics,Central,Carol Davis,2024-03-26,167.33,3,0.1,451.79,Cancelled,Bank Transfer
ORD-000203,42,Monitor,Computing,Central,David Wilson,2024-01-04,324.76,5,0.07,1510.13,Cancelled,Bank Transfer
ORD-000204,148,Monitor,Accessories,North,David Wilson,2024-03-13,205.7,1,0.04,197.47,Completed,Credit Card
ORD-000205,194,Headphones,Computing,West,Alice Johnson,2024-06-18,117.16,2,0.03,227.29,Completed,PayPal
ORD-000206,133,Phone,Computing,East,Eva Brown,2024-07-14,470.29,2,0.09,855.93,Cancelled,Credit Card
ORD-000207,44,Tablet,Electronics,Central,Eva Brown,2024-12-06,615.42,5,0.09,2800.16,Completed,Bank Transfer
ORD-000208,140,Phone,Electronics,South,David Wilson,2024-06-15,1137.5,4,0.19,3685.5,Completed,PayPal
ORD-000209,41,Keyboard,Mobile,East,Bob Smith,2024-04-05,89.37,3,0.14,230.57,Completed,Cash
ORD-000210,77,Headphones,Computing,West,Bob Smith,2024-12-30,155.1,3,0.12,409.46,Completed,Cash
ORD-000211,75,Laptop,Mobile,West,Bob Smith,2024-06-03,1646.11,4,0.03,6386.91,Cancelled,Cash
ORD-000212,37,Phone,Mobile,East,Eva Brown,2024-06-14,464.25,5,0.13,2019.49,Cancelled,PayPal
ORD-000213,67,Phone,Electronics,West,David Wilson,2024-02-04,454.98,3,0.06,1283.04,Cancelled,PayPal
ORD-000214,200,Webcam,Electronics,Central,Carol Davis,2024-07-02,66.35,4,0.01,262.75,Cancelled,Bank Transfer
ORD-000215,119,Laptop,Mobile,East,Eva Brown,2024-09-02,1531.95,5,0.13,6663.98,Completed,Cash
ORD-000216,4,Mouse,Electronics,Central,Alice Johnson,2024-05-29,47.5,1,0.08,43.7,Cancelled,Bank Transfer
ORD-000217,113,Laptop,Computing,East,Eva Brown,2024-01-15,1973.09,4,0.07,7339.89,Completed,PayPal
ORD-000218,19,Headphones,Computing,Central,Carol Davis,2024-10-06,101.69,4,0.09,370.15,Completed,Credit Card
ORD-000219,187,Mouse,Mobile,South,Bob Smith,2024-03-03,24.8,5,0.07,115.32,Cancelled,PayPal
ORD-000220,148,Mouse,Mobile,East,Eva Brown,2024-04-10,42.38,5,0.11,188.59,Completed,Cash
ORD-000221,4,Phone,Mobile,West,David Wilson,2024-02-16,1024.24,1,0.12,901.33,Cancelled,Cash
ORD-000222,12,Phone,Accessories,North,Bob Smith,2024-12-25,973.01,2,0.06,1829.26,Completed,PayPal
ORD-000223,195,Laptop,Mobile,Central,David Wilson,2024-12-18,1683.95,5,0.11,7493.58,Completed,PayPal
ORD-000224,57,Webcam,Accessories,Central,Bob Smith,2024-08-16,101.42,5,0.07,471.6,Cancelled,PayPal
ORD-000225,19,Mouse,Mobile,South,Bob Smith,2024-08-20,38.66,1,0.13,33.63,Cancelled,Cash
ORD-000226,144,Monitor,Computing,East,David Wilson,2024-11-20,334.3,1,0.17,277.47,Completed,Cash
ORD-000227,142,Keyboard,Mobile,West,Eva Brown,2024-11-04,99.16,3,0.07,276.66,Completed,Cash
ORD-000228,193,Mouse,Accessories,North,Alice Johnson,2024-09-17,48.77,2,0.09,88.76,Completed,PayPal
ORD-000229,88,Keyboard,Accessories,West,David Wilson,2024-03-05,63.47,5,0.07,295.14,Cancelled,Credit Card
ORD-000230,139,Headphones,Computing,East,David Wilson,2024-09-05,72.11,1,0.04,69.23,Cancelled,Bank Transfer
