date,account,category,amount,currency,department
2024-01-20,Sales Revenue,Revenue,142967.14,USD,R&D
2024-01-20,Marketing Expenses,Liability,56000.11,USD,R&D
2024-01-20,R&D Costs,Asset,41198.11,USD,Marketing
2024-01-20,Administrative,Revenue,42881.26,USD,R&D
2024-01-20,Operations,Liability,44946.17,USD,Operations
2024-01-21,Sales Revenue,Asset,140811.56,USD,Operations
2024-01-21,Marketing Expenses,Asset,65706.18,USD,R&D
2024-01-21,R&D Costs,Liability,47301.7,USD,Operations
2024-01-21,Administrative,Equity,28871.49,USD,R&D
2024-01-21,Operations,Expense,43632.53,USD,Marketing
2024-01-22,Sales Revenue,Asset,106434.12,USD,R&D
2024-01-22,Marketing Expenses,Expense,19388.14,USD,Sales
2024-01-22,R&D Costs,Asset,12541.73,USD,Admin
2024-01-22,Administrative,Asset,48985.3,USD,Marketing
2024-01-22,Operations,Liability,5424.24,USD,R&D
2024-01-23,Sales Revenue,Equity,89504.67,USD,R&D
2024-01-23,Marketing Expenses,Equity,25397.76,USD,Admin
2024-01-23,R&D Costs,Asset,28510.14,USD,Admin
2024-01-23,Administrative,Liability,14866.97,USD,Sales
2024-01-23,Operations,Liability,6993.29,USD,R&D
2024-01-24,Sales Revenue,Asset,188165.13,USD,Marketing
2024-01-24,Marketing Expenses,Revenue,29217.94,USD,Marketing
2024-01-24,R&D Costs,Equity,50055.12,USD,R&D
2024-01-24,Administrative,Liability,42916.44,USD,Marketing
2024-01-24,Operations,Revenue,5384.48,USD,Sales
2024-01-25,Sales Revenue,Expense,54426.15,USD,Marketing
2024-01-25,Marketing Expenses,Liability,34670.12,USD,Sales
2024-01-25,R&D Costs,Asset,67013.4,USD,Sales
2024-01-25,Administrative,Asset,26660.53,USD,Admin
2024-01-25,Operations,Expense,30801.35,USD,Admin
2024-01-26,Sales Revenue,Asset,157863.43,USD,Admin
2024-01-26,Marketing Expenses,Equity,61397.19,USD,Marketing
2024-01-26,R&D Costs,Liability,62998.5,USD,Marketing
2024-01-26,Administrative,Liability,3580.04,USD,Operations
2024-01-26,Operations,Liability,27545.21,USD,R&D
2024-01-27,Sales Revenue,Revenue,147650.96,USD,Operations
2024-01-27,Marketing Expenses,Asset,79547.13,USD,R&D
2024-01-27,R&D Costs,Asset,27306.79,USD,R&D
2024-01-27,Administrative,Equity,16962.44,USD,Marketing
2024-01-27,Operations,Asset,31057.38,USD,R&D
2024-01-28,Sales Revenue,Equity,170820.07,USD,Sales
2024-01-28,Marketing Expenses,Revenue,54939.0,USD,Operations
2024-01-28,R&D Costs,Equity,70979.47,USD,R&D
2024-01-28,Administrative,Expense,41349.62,USD,Operations
2024-01-28,Operations,Equity,24319.35,USD,Operations
2024-01-29,Sales Revenue,Expense,142523.17,USD,Operations
2024-01-29,Marketing Expenses,Asset,17418.74,USD,R&D
2024-01-29,R&D Costs,Asset,28772.07,USD,Sales
2024-01-29,Administrative,Equity,35995.46,USD,Admin
2024-01-29,Operations,Liability,32939.6,USD,Marketing
2024-01-30,Sales Revenue,Equity,62724.77,USD,Operations
2024-01-30,Marketing Expenses,Equity,39552.71,USD,Sales
2024-01-30,R&D Costs,Asset,79741.67,USD,R&D
2024-01-30,Administrative,Liability,17692.72,USD,Sales
2024-01-30,Operations,Expense,38183.72,USD,Admin
2024-01-31,Sales Revenue,Liability,177140.82,USD,Sales
2024-01-31,Marketing Expenses,Equity,56573.19,USD,R&D
2024-01-31,R&D Costs,Equity,14845.1,USD,Marketing
2024-01-31,Administrative,Revenue,31464.74,USD,Sales
2024-01-31,Operations,Asset,44569.35,USD,Sales
2024-02-01,Sales Revenue,Expense,195807.28,USD,Sales
2024-02-01,Marketing Expenses,Asset,67945.33,USD,Marketing
2024-02-01,R&D Costs,Asset,44735.52,USD,Admin
2024-02-01,Administrative,Liability,26892.57,USD,R&D
2024-02-01,Operations,Liability,27164.82,USD,Marketing
2024-02-02,Sales Revenue,Expense,50673.44,USD,Sales
2024-02-02,Marketing Expenses,Equity,23187.47,USD,Admin
2024-02-02,R&D Costs,Asset,45536.53,USD,R&D
2024-02-02,Administrative,Revenue,17275.31,USD,R&D
2024-02-02,Operations,Asset,3560.14,USD,Marketing
2024-02-03,Sales Revenue,Equity,144893.82,USD,R&D
2024-02-03,Marketing Expenses,Revenue,76348.15,USD,Marketing
2024-02-03,R&D Costs,Expense,68718.49,USD,Operations
2024-02-03,Administrative,Equity,46739.22,USD,Sales
2024-02-03,Operations,Revenue,47629.59,USD,R&D
2024-02-04,Sales Revenue,Liability,102112.44,USD,Sales
2024-02-04,Marketing Expenses,Asset,62862.95,USD,R&D
2024-02-04,R&D Costs,Revenue,29487.49,USD,Sales
2024-02-04,Administrative,Expense,49711.69,USD,R&D
2024-02-04,Operations,Asset,15354.53,USD,Marketing
2024-02-05,Sales Revenue,Revenue,92026.01,USD,R&D
2024-02-05,Marketing Expenses,Revenue,25480.29,USD,Marketing
2024-02-05,R&D Costs,Expense,40991.75,USD,R&D
2024-02-05,Administrative,Equity,43393.53,USD,Sales
2024-02-05,Operations,Expense,40309.12,USD,Admin
2024-02-06,Sales Revenue,Asset,135139.7,USD,Marketing
2024-02-06,Marketing Expenses,Liability,69879.21,USD,Sales
2024-02-06,R&D Costs,Expense,60561.02,USD,R&D
2024-02-06,Administrative,Equity,19522.93,USD,Admin
2024-02-06,Operations,Liability,38039.63,USD,Operations
2024-02-07,Sales Revenue,Asset,85724.91,USD,Marketing
2024-02-07,Marketing Expenses,Liability,19879.19,USD,R&D
2024-02-07,R&D Costs,Revenue,49900.49,USD,Admin
2024-02-07,Administrative,Expense,11590.39,USD,R&D
2024-02-07,Operations,Revenue,40768.1,USD,Sales
2024-02-08,Sales Revenue,Revenue,137584.85,USD,Operations
2024-02-08,Marketing Expenses,Liability,43681.88,USD,Marketing
2024-02-08,R&D Costs,Liability,75188.5,USD,Sales
2024-02-08,Administrative,Liability,27191.99,USD,Marketing
2024-02-08,Operations,Expense,26588.57,USD,Marketing
2024-02-09,Sales Revenue,Liability,103123.56,USD,Sales
2024-02-09,Marketing Expenses,Asset,67253.33,USD,Admin
2024-02-09,R&D Costs,Revenue,69650.59,USD,Sales
2024-02-09,Administrative,Liability,14062.62,USD,Admin
2024-02-09,Operations,Expense,22327.85,USD,Admin
2024-02-10,Sales Revenue,Asset,195790.0,USD,Operations
2024-02-10,Marketing Expenses,Liability,77296.47,USD,R&D
2024-02-10,R&D Costs,Expense,53433.89,USD,Operations
2024-02-10,Administrative,Revenue,7536.82,USD,Admin
2024-02-10,Operations,Revenue,9071.55,USD,Operations
2024-02-11,Sales Revenue,Expense,114649.74,USD,Marketing
2024-02-11,Marketing Expenses,Asset,29490.13,USD,Admin
2024-02-11,R&D Costs,Expense,75412.87,USD,Sales
2024-02-11,Administrative,Revenue,19194.59,USD,R&D
2024-02-11,Operations,Equity,36777.34,USD,R&D
2024-02-12,Sales Revenue,Revenue,93341.85,USD,R&D
2024-02-12,Marketing Expenses,Asset,21937.97,USD,Admin
2024-02-12,R&D Costs,Equity,40892.5,USD,Operations
2024-02-12,Administrative,Revenue,31287.77,USD,Marketing
2024-02-12,Operations,Liability,35582.27,USD,Operations
2024-02-13,Sales Revenue,Revenue,178173.0,USD,Sales
2024-02-13,Marketing Expenses,Expense,50815.29,USD,Admin
2024-02-13,R&D Costs,Revenue,42251.25,USD,R&D
2024-02-13,Administrative,Expense,24607.59,USD,Operations
2024-02-13,Operations,Equity,38226.95,USD,R&D
2024-02-14,Sales Revenue,Expense,66727.2,USD,Marketing
2024-02-14,Marketing Expenses,Equity,37776.01,USD,Sales
2024-02-14,R&D Costs,Equity,78329.17,USD,R&D
2024-02-14,Administrative,Equity,37200.59,USD,Admin
2024-02-14,Operations,Expense,42230.23,USD,Operations
2024-02-15,Sales Revenue,Expense,74743.8,USD,Admin
2024-02-15,Marketing Expenses,Equity,43227.87,USD,Sales
2024-02-15,R&D Costs,Revenue,66584.84,USD,Sales
2024-02-15,Administrative,Equity,4491.74,USD,Marketing
2024-02-15,Operations,Revenue,23111.82,USD,Admin
2024-02-16,Sales Revenue,Liability,100852.28,USD,R&D
2024-02-16,Marketing Expenses,Expense,22557.14,USD,Sales
2024-02-16,R&D Costs,Equity,76104.44,USD,Marketing
2024-02-16,Administrative,Expense,23115.63,USD,Admin
2024-02-16,Operations,Liability,31412.67,USD,Marketing
2024-02-17,Sales Revenue,Equity,125739.46,USD,Admin
2024-02-17,Marketing Expenses,Revenue,35654.72,USD,Sales
2024-02-17,R&D Costs,Asset,18393.77,USD,Sales
2024-02-17,Administrative,Liability,46839.05,USD,Marketing
2024-02-17,Operations,Liability,6828.81,USD,Operations
2024-02-18,Sales Revenue,Revenue,100032.68,USD,R&D
2024-02-18,Marketing Expenses,Liability,36317.07,USD,Operations
2024-02-18,R&D Costs,Liability,71111.2,USD,Sales
2024-02-18,Administrative,Revenue,6846.61,USD,Admin
2024-02-18,Operations,Liability,27799.63,USD,Sales
2024-02-19,Sales Revenue,Asset,160052.07,USD,Marketing
2024-02-19,Marketing Expenses,Liability,65789.68,USD,Admin
2024-02-19,R&D Costs,Equity,53811.35,USD,Operations
2024-02-19,Administrative,Equity,3281.37,USD,Operations
2024-02-19,Operations,Liability,28004.55,USD,Admin
2024-02-20,Sales Revenue,Revenue,80798.57,USD,Sales
2024-02-20,Marketing Expenses,Revenue,78772.2,USD,Admin
2024-02-20,R&D Costs,Liability,50346.34,USD,Admin
2024-02-20,Administrative,Asset,18929.88,USD,Admin
2024-02-20,Operations,Equity,44996.28,USD,R&D
2024-02-21,Sales Revenue,Liability,114589.46,USD,Sales
2024-02-21,Marketing Expenses,Expense,76822.84,USD,Sales
2024-02-21,R&D Costs,Equity,75776.0,USD,R&D
2024-02-21,Administrative,Liability,44786.56,USD,R&D
2024-02-21,Operations,Expense,27337.08,USD,Operations
2024-02-22,Sales Revenue,Expense,93996.56,USD,Admin
2024-02-22,Marketing Expenses,Expense,33412.74,USD,Operations
2024-02-22,R&D Costs,Liability,41479.56,USD,R&D
2024-02-22,Administrative,Expense,30287.64,USD,Marketing
2024-02-22,Operations,Liability,37899.17,USD,Admin
2024-02-23,Sales Revenue,Liability,115425.56,USD,Sales
2024-02-23,Marketing Expenses,Revenue,65793.82,USD,Admin
2024-02-23,R&D Costs,Liability,25469.8,USD,Marketing
2024-02-23,Administrative,Liability,40568.35,USD,Marketing
2024-02-23,Operations,Revenue,11917.49,USD,R&D
2024-02-24,Sales Revenue,Equity,53907.35,USD,Marketing
2024-02-24,Marketing Expenses,Liability,24707.05,USD,Admin
2024-02-24,R&D Costs,Equity,64684.67,USD,Admin
2024-02-24,Administrative,Asset,32631.34,USD,Operations
2024-02-24,Operations,Asset,39100.07,USD,R&D
2024-02-25,Sales Revenue,Revenue,83897.71,USD,R&D
2024-02-25,Marketing Expenses,Expense,18090.15,USD,Admin
2024-02-25,R&D Costs,Equity,62276.64,USD,R&D
2024-02-25,Administrative,Revenue,14801.43,USD,Marketing
2024-02-25,Operations,Revenue,14224.82,USD,Operations
2024-02-26,Sales Revenue,Liability,113219.91,USD,Admin
2024-02-26,Marketing Expenses,Liability,43157.14,USD,R&D
2024-02-26,R&D Costs,Asset,59165.84,USD,Marketing
2024-02-26,Administrative,Liability,11472.84,USD,Marketing
2024-02-26,Operations,Revenue,40254.87,USD,Admin
2024-02-27,Sales Revenue,Expense,129885.07,USD,Sales
2024-02-27,Marketing Expenses,Expense,18503.79,USD,Marketing
2024-02-27,R&D Costs,Liability,65376.8,USD,Admin
2024-02-27,Administrative,Expense,20282.48,USD,Sales
2024-02-27,Operations,Liability,42058.75,USD,Admin
2024-02-28,Sales Revenue,Revenue,96200.81,USD,R&D
2024-02-28,Marketing Expenses,Expense,20568.15,USD,Operations
2024-02-28,R&D Costs,Equity,76466.95,USD,R&D
2024-02-28,Administrative,Asset,24857.48,USD,Admin
2024-02-28,Operations,Revenue,40879.99,USD,Marketing
2024-02-29,Sales Revenue,Expense,92359.8,USD,Admin
2024-02-29,Marketing Expenses,Equity,14637.09,USD,Marketing
2024-02-29,R&D Costs,Asset,21503.84,USD,R&D
2024-02-29,Administrative,Revenue,32403.26,USD,Admin
2024-02-29,Operations,Liability,12042.07,USD,R&D
2024-03-01,Sales Revenue,Revenue,69742.94,USD,Marketing
2024-03-01,Marketing Expenses,Expense,79696.39,USD,R&D
2024-03-01,R&D Costs,Liability,24185.83,USD,Sales
2024-03-01,Administrative,Liability,13562.32,USD,Sales
2024-03-01,Operations,Equity,17868.92,USD,Marketing
2024-03-02,Sales Revenue,Revenue,144229.85,USD,Sales
2024-03-02,Marketing Expenses,Equity,73640.12,USD,Operations
2024-03-02,R&D Costs,Expense,78111.34,USD,Operations
2024-03-02,Administrative,Liability,25056.1,USD,Sales
2024-03-02,Operations,Equity,41015.65,USD,Admin
2024-03-03,Sales Revenue,Asset,118617.19,USD,Admin
2024-03-03,Marketing Expenses,Liability,63980.36,USD,R&D
2024-03-03,R&D Costs,Expense,34262.26,USD,R&D
2024-03-03,Administrative,Liability,49231.37,USD,Admin
2024-03-03,Operations,Liability,43558.19,USD,Sales
2024-03-04,Sales Revenue,Equity,66490.72,USD,Admin
2024-03-04,Marketing Expenses,Asset,64051.42,USD,Sales
2024-03-04,R&D Costs,Revenue,40455.54,USD,Marketing
2024-03-04,Administrative,Expense,49221.28,USD,Operations
2024-03-04,Operations,Expense,16053.04,USD,R&D
2024-03-05,Sales Revenue,Revenue,131740.38,USD,Sales
2024-03-05,Marketing Expenses,Revenue,76433.78,USD,Marketing
2024-03-05,R&D Costs,Asset,75375.54,USD,Marketing
2024-03-05,Administrative,Expense,44196.2,USD,Sales
2024-03-05,Operations,Asset,5253.1,USD,Operations
2024-03-06,Sales Revenue,Asset,121989.31,USD,Admin
2024-03-06,Marketing Expenses,Liability,24155.3,USD,Admin
2024-03-06,R&D Costs,Revenue,65082.57,USD,Marketing
2024-03-06,Administrative,Asset,20645.16,USD,Marketing
2024-03-06,Operations,Equity,19312.1,USD,R&D
2024-03-07,Sales Revenue,Expense,50618.84,USD,R&D
2024-03-07,Marketing Expenses,Revenue,31189.93,USD,Marketing
2024-03-07,R&D Costs,Revenue,79205.25,USD,Sales
2024-03-07,Administrative,Revenue,20682.94,USD,R&D
2024-03-07,Operations,Equity,49675.28,USD,R&D
2024-03-08,Sales Revenue,Revenue,178217.49,USD,Sales
2024-03-08,Marketing Expenses,Revenue,45673.82,USD,Admin
2024-03-08,R&D Costs,Liability,67538.62,USD,R&D
2024-03-08,Administrative,Liability,30747.05,USD,R&D
2024-03-08,Operations,Equity,44920.25,USD,R&D
2024-03-09,Sales Revenue,Liability,86782.81,USD,Marketing
2024-03-09,Marketing Expenses,Equity,15008.66,USD,R&D
2024-03-09,R&D Costs,Equity,60794.33,USD,Marketing
2024-03-09,Administrative,Asset,17332.31,USD,Operations
2024-03-09,Operations,Revenue,7424.29,USD,Sales
2024-03-10,Sales Revenue,Equity,121706.67,USD,Operations
2024-03-10,Marketing Expenses,Equity,71394.06,USD,Operations
2024-03-10,R&D Costs,Expense,79558.61,USD,Marketing
2024-03-10,Administrative,Revenue,13719.82,USD,Admin
2024-03-10,Operations,Liability,1284.99,USD,Admin
2024-03-11,Sales Revenue,Expense,189835.07,USD,Admin
2024-03-11,Marketing Expenses,Equity,13405.99,USD,R&D
2024-03-11,R&D Costs,Equity,61173.63,USD,Admin
2024-03-11,Administrative,Liability,49844.38,USD,Operations
2024-03-11,Operations,Asset,9719.6,USD,Operations
2024-03-12,Sales Revenue,Expense,72163.6,USD,Sales
2024-03-12,Marketing Expenses,Equity,24585.07,USD,R&D
2024-03-12,R&D Costs,Asset,76297.31,USD,Admin
2024-03-12,Administrative,Equity,47231.63,USD,Operations
2024-03-12,Operations,Asset,12704.88,USD,Admin
2024-03-13,Sales Revenue,Equity,171041.11,USD,Admin
2024-03-13,Marketing Expenses,Revenue,75114.66,USD,Operations
2024-03-13,R&D Costs,Liability,38432.91,USD,Admin
2024-03-13,Administrative,Equity,26096.0,USD,Marketing
2024-03-13,Operations,Liability,34159.83,USD,Operations
2024-03-14,Sales Revenue,Expense,52836.95,USD,R&D
2024-03-14,Marketing Expenses,Expense,36448.28,USD,Admin
2024-03-14,R&D Costs,Asset,69155.22,USD,Operations
2024-03-14,Administrative,Revenue,21174.2,USD,Sales
2024-03-14,Operations,Equity,7639.93,USD,Admin
2024-03-15,Sales Revenue,Revenue,120423.97,USD,Operations
2024-03-15,Marketing Expenses,Liability,36125.51,USD,R&D
2024-03-15,R&D Costs,Expense,49600.38,USD,Operations
2024-03-15,Administrative,Expense,44085.03,USD,R&D
2024-03-15,Operations,Expense,37929.28,USD,Operations
2024-03-16,Sales Revenue,Equity,83309.21,USD,Admin
2024-03-16,Marketing Expenses,Equity,63760.69,USD,Admin
2024-03-16,R&D Costs,Expense,36156.51,USD,Operations
2024-03-16,Administrative,Equity,33573.25,USD,Admin
2024-03-16,Operations,Liability,49431.76,USD,Operations
2024-03-17,Sales Revenue,Asset,195317.96,USD,Admin
2024-03-17,Marketing Expenses,Liability,49198.63,USD,Marketing
2024-03-17,R&D Costs,Asset,63619.6,USD,Sales
2024-03-17,Administrative,Expense,26044.87,USD,Admin
2024-03-17,Operations,Revenue,13928.06,USD,Operations
2024-03-18,Sales Revenue,Expense,165656.21,USD,Admin
2024-03-18,Marketing Expenses,Liability,74378.52,USD,Marketing
2024-03-18,R&D Costs,Expense,66282.88,USD,Operations
2024-03-18,Administrative,Asset,5760.9,USD,Marketing
2024-03-18,Operations,Equity,32357.17,USD,Sales
2024-03-19,Sales Revenue,Asset,139103.98,USD,Operations
2024-03-19,Marketing Expenses,Revenue,49238.47,USD,R&D
2024-03-19,R&D Costs,Revenue,47265.59,USD,Sales
2024-03-19,Administrative,Expense,23614.94,USD,Sales
2024-03-19,Operations,Equity,45681.65,USD,R&D
2024-03-20,Sales Revenue,Liability,153642.96,USD,Operations
2024-03-20,Marketing Expenses,Equity,34178.99,USD,Marketing
2024-03-20,R&D Costs,Asset,27973.29,USD,Admin
2024-03-20,Administrative,Revenue,3869.16,USD,Marketing
2024-03-20,Operations,Asset,5598.76,USD,R&D
2024-03-21,Sales Revenue,Revenue,63635.14,USD,Sales
2024-03-21,Marketing Expenses,Equity,69634.3,USD,Sales
2024-03-21,R&D Costs,Liability,70140.14,USD,Admin
2024-03-21,Administrative,Equity,36765.52,USD,R&D
2024-03-21,Operations,Equity,39101.85,USD,Marketing
2024-03-22,Sales Revenue,Asset,127399.55,USD,Operations
2024-03-22,Marketing Expenses,Liability,18183.47,USD,Operations
2024-03-22,R&D Costs,Asset,67432.65,USD,Operations
2024-03-22,Administrative,Asset,30471.33,USD,Operations
2024-03-22,Operations,Expense,22167.19,USD,Sales
2024-03-23,Sales Revenue,Asset,78408.15,USD,Operations
2024-03-23,Marketing Expenses,Revenue,18160.41,USD,R&D
2024-03-23,R&D Costs,Equity,45974.52,USD,R&D
2024-03-23,Administrative,Liability,18706.87,USD,Admin
2024-03-23,Operations,Equity,31388.05,USD,Marketing
2024-03-24,Sales Revenue,Equity,79525.34,USD,Operations
2024-03-24,Marketing Expenses,Revenue,22382.37,USD,Marketing
2024-03-24,R&D Costs,Revenue,22136.61,USD,Admin
2024-03-24,Administrative,Expense,24887.67,USD,Marketing
2024-03-24,Operations,Liability,33728.1,USD,Admin
2024-03-25,Sales Revenue,Asset,187650.32,USD,Marketing
2024-03-25,Marketing Expenses,Equity,46535.7,USD,R&D
2024-03-25,R&D Costs,Revenue,47537.74,USD,Operations
2024-03-25,Administrative,Asset,18433.94,USD,Sales
2024-03-25,Operations,Liability,10419.65,USD,Marketing
2024-03-26,Sales Revenue,Revenue,135764.91,USD,Admin
2024-03-26,Marketing Expenses,Revenue,61117.68,USD,Operations
2024-03-26,R&D Costs,Asset,35236.91,USD,Admin
2024-03-26,Administrative,Equity,49927.56,USD,Marketing
2024-03-26,Operations,Revenue,35651.04,USD,Marketing
2024-03-27,Sales Revenue,Liability,149581.31,USD,Marketing
2024-03-27,Marketing Expenses,Expense,28182.99,USD,R&D
2024-03-27,R&D Costs,Revenue,26473.18,USD,Operations
2024-03-27,Administrative,Asset,4266.64,USD,R&D
2024-03-27,Operations,Revenue,25574.81,USD,Sales
2024-03-28,Sales Revenue,Expense,185170.34,USD,Operations
2024-03-28,Marketing Expenses,Expense,52761.85,USD,Sales
2024-03-28,R&D Costs,Liability,55618.77,USD,Marketing
2024-03-28,Administrative,Expense,4248.09,USD,Sales
2024-03-28,Operations,Equity,13225.98,USD,R&D
2024-03-29,Sales Revenue,Liability,150101.0,USD,Operations
2024-03-29,Marketing Expenses,Revenue,12424.6,USD,Admin
2024-03-29,R&D Costs,Revenue,31194.82,USD,Marketing
2024-03-29,Administrative,Expense,26568.55,USD,Sales
2024-03-29,Operations,Revenue,6417.98,USD,R&D
2024-03-30,Sales Revenue,Revenue,155702.58,USD,Operations
2024-03-30,Marketing Expenses,Expense,30703.83,USD,Sales
2024-03-30,R&D Costs,Equity,43236.66,USD,Marketing
2024-03-30,Administrative,Revenue,24037.75,USD,Marketing
2024-03-30,Operations,Expense,40907.01,USD,Marketing
2024-03-31,Sales Revenue,Equity,193799.77,USD,Marketing
2024-03-31,Marketing Expenses,Revenue,70735.33,USD,R&D
2024-03-31,R&D Costs,Liability,68625.74,USD,Operations
2024-03-31,Administrative,Expense,2332.68,USD,Admin
2024-03-31,Operations,Revenue,23977.81,USD,Operations
2024-04-01,Sales Revenue,Liability,115062.61,USD,R&D
2024-04-01,Marketing Expenses,Expense,30867.62,USD,Marketing
2024-04-01,R&D Costs,Liability,45427.73,USD,R&D
2024-04-01,Administrative,Revenue,34563.34,USD,Marketing
2024-04-01,Operations,Asset,32140.65,USD,R&D
2024-04-02,Sales Revenue,Liability,190846.95,USD,Operations
2024-04-02,Marketing Expenses,Revenue,54047.4,USD,R&D
2024-04-02,R&D Costs,Equity,58093.75,USD,Sales
2024-04-02,Administrative,Asset,28899.72,USD,Admin
2024-04-02,Operations,Equity,38871.28,USD,Sales
