session_id,timestamp,page,source,device,country,session_duration,is_bounce,page_views
SESS-000085,2024-12-28 05:45:00,/about,Twitter,Tablet,Canada,170,False,10
SESS-000086,2024-05-19 23:46:00,/products,Facebook,Desktop,Canada,321,False,3
SESS-000087,2024-07-05 19:48:00,/contact,Referral,Tablet,France,289,False,7
SESS-000088,2024-06-26 04:17:00,/home,Twitter,Desktop,Netherlands,96,False,4
SESS-000089,2024-07-21 14:47:00,/blog,Google,Desktop,USA,683,False,4
SESS-000090,2024-11-21 09:08:00,/blog,Twitter,Mobile,France,458,False,10
SESS-000091,2024-01-12 14:40:00,/features,Google,Mobile,Netherlands,296,True,1
SESS-000092,2024-11-16 12:29:00,/support,Google,Desktop,Italy,343,False,10
SESS-000093,2024-03-16 08:00:00,/blog,Direct,Mobile,Germany,559,False,3
SESS-000094,2024-11-27 22:37:00,/home,Referral,Mobile,UK,276,True,1
SESS-000095,2024-08-29 19:39:00,/pricing,Direct,Mobile,Canada,280,False,6
SESS-000096,2024-08-24 21:33:00,/products,Google,Tablet,USA,273,False,6
SESS-000097,2024-09-21 14:10:00,/contact,Email,Mobile,Italy,111,False,1
SESS-000098,2024-04-06 05:54:00,/pricing,Google,Tablet,France,344,True,1
SESS-000099,2024-12-03 15:41:00,/features,LinkedIn,Mobile,UK,325,False,8
SESS-000100,2024-09-13 23:36:00,/support,Direct,Desktop,Canada,296,False,4
SESS-000101,2024-07-22 08:59:00,/products,Google,Mobile,Spain,445,True,1
SESS-000102,2024-10-21 04:58:00,/blog,Email,Tablet,France,896,True,1
SESS-000103,2024-05-19 17:29:00,/support,Facebook,Mobile,Spain,697,False,10
SESS-000104,2024-12-24 11:52:00,/products,Facebook,Tablet,UK,512,False,4
SESS-000105,2024-01-14 22:20:00,/support,Referral,Tablet,USA,627,False,2
SESS-000106,2024-03-20 02:57:00,/home,Direct,Mobile,Netherlands,118,True,1
SESS-000107,2024-01-08 06:35:00,/support,LinkedIn,Desktop,USA,873,False,6
SESS-000108,2024-04-16 13:28:00,/home,LinkedIn,Tablet,Spain,32,True,1
SESS-000109,2024-03-02 07:24:00,/contact,Google,Desktop,Spain,238,False,4
SESS-000110,2024-09-11 03:58:00,/home,Email,Tablet,Germany,134,False,3
SESS-000111,2024-06-20 15:57:00,/contact,Google,Desktop,Italy,148,False,1
SESS-000112,2024-11-02 08:48:00,/home,Email,Desktop,USA,261,False,9
SESS-000113,2024-11-13 04:27:00,/home,Referral,Desktop,France,288,False,1
SESS-000114,2024-07-23 03:50:00,/home,Direct,Tablet,UK,86,True,1
SESS-000115,2024-10-10 12:20:00,/contact,Facebook,Desktop,Germany,56,False,2
SESS-000116,2024-11-15 17:40:00,/pricing,Twitter,Tablet,France,488,True,1
SESS-000117,2024-10-05 09:00:00,/about,Twitter,Tablet,UK,92,False,9
SESS-000118,2024-02-22 09:12:00,/support,Facebook,Desktop,USA,232,False,1
SESS-000119,2024-01-28 09:22:00,/products,Google,Desktop,France,71,False,8
SESS-000120,2024-03-07 12:31:00,/about,LinkedIn,Mobile,Netherlands,168,False,9
SESS-000121,2024-08-21 06:43:00,/pricing,Google,Mobile,Canada,367,True,1
SESS-000122,2024-08-04 00:55:00,/blog,LinkedIn,Desktop,Italy,774,True,1
SESS-000123,2024-04-05 12:17:00,/about,Email,Tablet,France,76,False,5
SESS-000124,2024-07-22 08:06:00,/blog,Referral,Mobile,USA,742,False,5
SESS-000125,2024-12-04 10:27:00,/support,Referral,Mobile,Germany,1102,False,8
SESS-000126,2024-08-19 02:30:00,/features,Twitter,Desktop,Italy,285,True,1
SESS-000127,2024-01-29 23:07:00,/pricing,Direct,Mobile,Germany,120,False,9
SESS-000128,2024-09-15 04:14:00,/blog,Facebook,Mobile,Germany,400,False,5
SESS-000129,2024-11-27 02:59:00,/features,LinkedIn,Tablet,Canada,298,False,1
SESS-000130,2024-07-07 20:33:00,/home,LinkedIn,Mobile,Netherlands,242,False,9
SESS-000131,2024-03-03 12:09:00,/contact,LinkedIn,Desktop,UK,254,False,2
SESS-000132,2024-05-12 11:02:00,/contact,Google,Tablet,Germany,85,True,1
SESS-000133,2024-03-06 22:10:00,/about,Google,Tablet,UK,137,False,7
SESS-000134,2024-07-18 18:29:00,/blog,Email,Desktop,USA,747,False,3
SESS-000135,2024-08-23 19:11:00,/home,Twitter,Desktop,USA,267,False,1
SESS-000136,2024-12-24 21:07:00,/contact,Twitter,Tablet,UK,221,True,1
SESS-000137,2024-04-13 00:35:00,/features,Facebook,Tablet,Netherlands,327,False,3
SESS-000138,2024-11-05 06:50:00,/about,Referral,Tablet,Germany,124,False,5
SESS-000139,2024-05-06 13:52:00,/support,Referral,Tablet,USA,313,True,1
SESS-000140,2024-09-21 02:44:00,/home,Email,Mobile,Spain,161,False,4
SESS-000141,2024-02-20 05:26:00,/about,Google,Mobile,France,79,False,1
SESS-000142,2024-04-10 00:43:00,/support,Email,Desktop,Netherlands,718,True,1
SESS-000143,2024-06-17 20:22:00,/support,Email,Desktop,UK,598,False,8
SESS-000144,2024-10-29 23:35:00,/features,Twitter,Tablet,USA,263,True,1
SESS-000145,2024-07-12 23:06:00,/about,Facebook,Mobile,USA,39,False,8
SESS-000146,2024-09-23 08:32:00,/support,Twitter,Desktop,Germany,676,True,1
SESS-000147,2024-03-28 20:34:00,/home,Google,Mobile,UK,80,True,1
SESS-000148,2024-08-15 17:30:00,/products,Referral,Mobile,France,166,False,8
SESS-000149,2024-06-20 03:30:00,/contact,Facebook,Mobile,Germany,83,True,1
SESS-000150,2024-10-29 08:40:00,/contact,Twitter,Tablet,Netherlands,280,True,1
SESS-000151,2024-05-05 23:32:00,/blog,Referral,Desktop,UK,710,False,9
SESS-000152,2024-08-25 08:15:00,/products,LinkedIn,Desktop,France,481,True,1
SESS-000153,2024-01-19 01:39:00,/features,Email,Tablet,Italy,378,False,2
SESS-000154,2024-01-30 19:38:00,/support,Facebook,Mobile,Canada,1155,False,2
SESS-000155,2024-03-27 04:05:00,/contact,Direct,Desktop,Netherlands,198,False,5
SESS-000156,2024-07-11 10:28:00,/features,Google,Desktop,Italy,346,True,1
SESS-000157,2024-01-15 00:41:00,/about,Direct,Tablet,Netherlands,100,False,8
SESS-000158,2024-12-08 03:29:00,/about,LinkedIn,Mobile,UK,128,False,7
SESS-000159,2024-07-14 02:03:00,/pricing,Referral,Mobile,Canada,292,False,5
SESS-000160,2024-04-16 15:11:00,/pricing,Referral,Mobile,Netherlands,181,True,1
SESS-000161,2024-11-17 20:47:00,/products,Facebook,Tablet,Germany,291,False,1
SESS-000162,2024-05-08 07:57:00,/about,Facebook,Desktop,Italy,104,False,3
SESS-000163,2024-09-17 13:38:00,/products,LinkedIn,Mobile,France,442,False,10
SESS-000164,2024-10-14 21:53:00,/products,Direct,Mobile,France,592,True,1
SESS-000165,2024-12-28 18:18:00,/products,Email,Desktop,USA,76,False,9
SESS-000166,2024-05-24 04:48:00,/pricing,Direct,Tablet,Italy,303,False,1
SESS-000167,2024-12-12 14:58:00,/features,LinkedIn,Desktop,Italy,272,False,4
SESS-000168,2024-05-09 03:36:00,/support,Referral,Desktop,UK,759,True,1
SESS-000169,2024-05-14 12:37:00,/contact,Referral,Mobile,Spain,60,True,1
SESS-000170,2024-04-09 19:51:00,/contact,Referral,Mobile,Germany,45,False,1
SESS-000171,2024-05-08 09:25:00,/contact,Email,Mobile,UK,71,True,1
SESS-000172,2024-10-04 21:22:00,/home,Email,Tablet,Germany,201,False,8
SESS-000173,2024-03-19 20:23:00,/support,LinkedIn,Mobile,USA,717,False,9
SESS-000174,2024-05-30 10:09:00,/contact,Referral,Tablet,Spain,203,True,1
SESS-000175,2024-11-27 20:40:00,/features,Twitter,Tablet,Italy,467,False,8
SESS-000176,2024-09-07 15:03:00,/products,Facebook,Tablet,UK,441,False,1
SESS-000177,2024-02-24 11:56:00,/contact,Google,Mobile,Netherlands,227,False,10
SESS-000178,2024-06-22 02:25:00,/pricing,Facebook,Mobile,Germany,573,False,5
SESS-000179,2024-01-16 19:55:00,/contact,LinkedIn,Mobile,Italy,292,False,9
SESS-000180,2024-09-14 05:29:00,/features,Direct,Mobile,Germany,376,False,1
SESS-000181,2024-10-14 22:17:00,/products,Facebook,Mobile,Spain,190,False,6
SESS-000182,2024-07-20 11:51:00,/features,Email,Mobile,Spain,367,False,6
SESS-000183,2024-12-04 09:11:00,/features,Google,Desktop,Spain,96,True,1
SESS-000184,2024-07-31 04:44:00,/products,Direct,Mobile,USA,390,False,9
SESS-000185,2024-05-07 06:03:00,/support,Google,Desktop,France,927,True,1
SESS-000186,2024-10-15 16:26:00,/features,Google,Tablet,Canada,440,True,1
SESS-000187,2024-02-21 02:53:00,/contact,LinkedIn,Mobile,Netherlands,246,False,1
SESS-000188,2024-11-17 05:18:00,/blog,Email,Desktop,Spain,142,False,7
SESS-000189,2024-07-08 04:01:00,/features,Google,Desktop,Spain,195,False,5
SESS-000190,2024-12-10 14:58:00,/about,Google,Desktop,Netherlands,65,False,6
SESS-000191,2024-02-12 23:25:00,/home,Facebook,Tablet,Canada,240,False,8
SESS-000192,2024-02-21 14:15:00,/support,Google,Desktop,France,266,True,1
SESS-000193,2024-06-01 05:46:00,/home,Google,Desktop,USA,210,False,5
SESS-000194,2024-06-17 17:04:00,/home,Referral,Tablet,Canada,133,True,1
SESS-000195,2024-10-17 01:53:00,/contact,Email,Desktop,Italy,195,False,10
SESS-000196,2024-06-12 18:13:00,/contact,Referral,Mobile,Netherlands,84,True,1
SESS-000197,2024-10-22 09:37:00,/pricing,LinkedIn,Mobile,Canada,238,False,4
SESS-000198,2024-07-18 17:08:00,/contact,Referral,Mobile,USA,203,False,2
SESS-000199,2024-10-05 04:08:00,/blog,Twitter,Desktop,Germany,523,True,1
SESS-000200,2024-01-06 00:55:00,/pricing,Direct,Tablet,Canada,580,False,7
SESS-000201,2024-06-15 21:39:00,/features,Email,Desktop,France,150,False,4
SESS-000202,2024-12-14 04:05:00,/support,Facebook,Mobile,USA,439,False,7
SESS-000203,2024-07-09 10:09:00,/products,Facebook,Desktop,USA,227,True,1
SESS-000204,2024-12-30 03:36:00,/contact,LinkedIn,Tablet,Spain,274,False,2
SESS-000205,2024-04-30 22:42:00,/home,Referral,Mobile,UK,255,False,5
SESS-000206,2024-05-01 19:20:00,/support,Facebook,Mobile,France,399,True,1
SESS-000207,2024-09-03 19:44:00,/support,Referral,Mobile,UK,1070,False,5
SESS-000208,2024-05-20 11:57:00,/blog,Google,Tablet,USA,787,True,1
SESS-000209,2024-06-08 12:40:00,/home,Google,Desktop,Canada,158,True,1
SESS-000210,2024-12-05 09:40:00,/features,Email,Desktop,USA,100,False,4
SESS-000211,2024-03-27 20:37:00,/about,Referral,Mobile,Spain,44,False,4
SESS-000212,2024-02-13 11:30:00,/products,Referral,Tablet,Spain,477,False,4
SESS-000213,2024-01-11 17:22:00,/contact,Email,Tablet,Italy,226,False,5
SESS-000214,2024-11-13 06:18:00,/features,Facebook,Tablet,Spain,234,False,2
SESS-000215,2024-10-01 14:25:00,/features,Direct,Tablet,Netherlands,364,False,7
SESS-000216,2024-08-31 22:05:00,/about,Facebook,Mobile,UK,168,False,8
SESS-000217,2024-01-12 21:36:00,/support,Twitter,Desktop,France,501,False,1
SESS-000218,2024-03-30 14:24:00,/features,Referral,Mobile,France,251,False,9
SESS-000219,2024-12-15 09:00:00,/features,LinkedIn,Mobile,UK,132,False,10
SESS-000220,2024-02-28 19:44:00,/features,Email,Tablet,Netherlands,89,False,3
SESS-000221,2024-12-07 06:50:00,/pricing,Facebook,Desktop,Italy,112,True,1
SESS-000222,2024-08-05 15:03:00,/blog,Twitter,Mobile,Netherlands,682,False,1
SESS-000223,2024-10-21 10:52:00,/home,LinkedIn,Desktop,Spain,240,False,7
SESS-000224,2024-08-13 17:14:00,/pricing,Email,Desktop,UK,411,False,8
SESS-000225,2024-07-29 21:04:00,/blog,Facebook,Mobile,USA,510,False,1
SESS-000226,2024-04-09 14:25:00,/blog,Google,Tablet,Italy,392,True,1
SESS-000227,2024-09-30 17:48:00,/products,Twitter,Desktop,Italy,426,False,5
SESS-000228,2024-06-20 12:46:00,/support,Google,Mobile,Netherlands,988,True,1
SESS-000229,2024-10-09 00:37:00,/pricing,LinkedIn,Tablet,Italy,364,True,1
SESS-000230,2024-09-01 08:31:00,/contact,Direct,Desktop,UK,59,False,5
SESS-000231,2024-01-23 16:10:00,/support,Google,Mobile,Canada,393,False,8
SESS-000232,2024-03-01 05:47:00,/contact,Email,Tablet,Italy,231,False,4
SESS-000233,2024-05-21 15:44:00,/features,Twitter,Mobile,Italy,203,False,4
SESS-000234,2024-08-25 02:25:00,/support,Twitter,Mobile,Spain,425,False,1
SESS-000235,2024-10-30 14:06:00,/pricing,LinkedIn,Desktop,Spain,168,False,6
SESS-000236,2024-11-16 13:42:00,/about,Google,Tablet,Spain,152,True,1
SESS-000237,2024-02-24 22:51:00,/pricing,Direct,Mobile,France,416,False,7
SESS-000238,2024-11-17 21:12:00,/features,LinkedIn,Tablet,Canada,325,False,5
SESS-000239,2024-01-04 18:10:00,/features,Referral,Tablet,Netherlands,350,True,1
SESS-000240,2024-12-21 02:28:00,/products,Facebook,Desktop,Germany,327,False,2
SESS-000241,2024-04-01 17:36:00,/blog,Google,Desktop,Canada,167,False,9
SESS-000242,2024-12-22 00:52:00,/products,LinkedIn,Desktop,France,441,False,9
SESS-000243,2024-03-19 10:40:00,/products,Direct,Tablet,France,67,False,4
SESS-000244,2024-04-01 23:54:00,/products,LinkedIn,Tablet,USA,93,True,1
SESS-000245,2024-05-02 10:21:00,/about,Facebook,Mobile,Germany,33,False,10
SESS-000246,2024-09-06 02:28:00,/pricing,Direct,Tablet,Italy,309,False,5
SESS-000247,2024-01-11 17:38:00,/support,Google,Tablet,Canada,437,True,1
SESS-000248,2024-11-05 19:58:00,/home,Facebook,Desktop,UK,31,True,1
SESS-000249,2024-10-11 23:15:00,/products,Google,Desktop,Germany,507,True,1
SESS-000250,2024-08-09 07:57:00,/support,Twitter,Mobile,France,691,False,3
SESS-000251,2024-12-25 22:00:00,/products,LinkedIn,Mobile,Italy,104,False,8
SESS-000252,2024-12-24 20:16:00,/blog,Facebook,Desktop,Germany,181,False,9
SESS-000253,2024-01-30 21:19:00,/support,Direct,Desktop,Netherlands,547,False,8
SESS-000254,2024-01-09 01:58:00,/products,Referral,Mobile,France,277,False,3
SESS-000255,2024-08-12 20:05:00,/contact,Twitter,Mobile,Canada,159,False,9
SESS-000256,2024-02-25 22:23:00,/about,Facebook,Tablet,Netherlands,109,False,3
SESS-000257,2024-07-18 14:00:00,/about,Google,Tablet,Spain,106,False,1
SESS-000258,2024-10-04 02:35:00,/home,Email,Mobile,USA,242,False,10
SESS-000259,2024-12-25 12:45:00,/blog,Email,Tablet,Canada,571,False,2
SESS-000260,2024-10-14 11:07:00,/products,Facebook,Desktop,Germany,219,False,10
SESS-000261,2024-01-24 16:55:00,/features,Email,Mobile,USA,442,False,3
SESS-000262,2024-11-30 21:54:00,/products,Twitter,Desktop,Germany,308,True,1
SESS-000263,2024-01-02 01:26:00,/blog,Facebook,Tablet,Spain,735,False,10
SESS-000264,2024-12-22 17:17:00,/home,Twitter,Desktop,Netherlands,172,False,8
SESS-000265,2024-10-16 07:33:00,/products,Email,Desktop,Netherlands,404,False,5
SESS-000266,2024-04-29 19:59:00,/pricing,Email,Tablet,France,421,False,6
SESS-000267,2024-04-05 17:58:00,/about,Direct,Desktop,UK,124,True,1
SESS-000268,2024-02-15 13:01:00,/features,Referral,Tablet,Italy,391,False,6
SESS-000269,2024-12-17 07:42:00,/blog,LinkedIn,Tablet,UK,361,True,1
SESS-000270,2024-01-12 22:12:00,/home,Twitter,Mobile,Canada,249,False,7
SESS-000271,2024-01-18 14:31:00,/blog,Direct,Tablet,USA,885,True,1
SESS-000272,2024-07-07 04:14:00,/home,Email,Mobile,USA,254,False,2
SESS-000273,2024-12-09 02:34:00,/products,Google,Tablet,UK,364,False,7
SESS-000274,2024-09-26 05:20:00,/home,Direct,Desktop,Italy,220,False,4
SESS-000275,2024-08-26 18:55:00,/support,Facebook,Tablet,Canada,386,False,3
SESS-000276,2024-11-09 17:55:00,/support,Referral,Mobile,Netherlands,1166,False,3
SESS-000277,2024-08-20 10:13:00,/pricing,LinkedIn,Mobile,USA,287,True,1
SESS-000278,2024-03-06 15:55:00,/blog,LinkedIn,Desktop,Italy,870,False,5
SESS-000279,2024-03-25 03:34:00,/pricing,LinkedIn,Mobile,Italy,423,True,1
SESS-000280,2024-12-13 19:28:00,/home,Email,Mobile,Italy,278,False,5
SESS-000281,2024-08-25 02:59:00,/contact,Email,Desktop,Spain,62,False,7
SESS-000282,2024-10-06 09:56:00,/contact,LinkedIn,Desktop,France,99,False,5
SESS-000283,2024-04-06 02:48:00,/pricing,Facebook,Desktop,France,210,False,6
SESS-000284,2024-07-13 21:42:00,/features,Facebook,Tablet,Germany,183,False,7
SESS-000285,2024-05-12 02:20:00,/about,LinkedIn,Mobile,UK,111,False,7
SESS-000286,2024-08-04 13:00:00,/products,Twitter,Mobile,Netherlands,280,False,9
SESS-000287,2024-07-30 20:22:00,/products,Referral,Mobile,Canada,379,True,1
SESS-000288,2024-01-22 13:15:00,/contact,Twitter,Desktop,Italy,154,False,3
SESS-000289,2024-09-07 11:55:00,/features,Facebook,Mobile,Canada,264,True,1
SESS-000290,2024-06-09 07:32:00,/about,Referral,Tablet,USA,175,False,4
SESS-000291,2024-05-10 04:23:00,/blog,Google,Mobile,Canada,131,True,1
SESS-000292,2024-11-23 02:38:00,/blog,Twitter,Desktop,Italy,329,False,2
SESS-000293,2024-11-01 19:10:00,/about,Email,Desktop,Germany,141,False,7
SESS-000294,2024-09-14 16:14:00,/features,Google,Mobile,USA,185,False,8
SESS-000295,2024-01-27 13:57:00,/contact,Twitter,Mobile,USA,181,False,7
SESS-000296,2024-10-31 15:53:00,/home,LinkedIn,Mobile,UK,247,False,10
SESS-000297,2024-03-09 13:43:00,/support,Facebook,Tablet,UK,657,False,10
SESS-000298,2024-04-08 01:46:00,/blog,Email,Desktop,UK,401,False,6
SESS-000299,2024-02-26 12:47:00,/support,Direct,Tablet,UK,331,False,5
SESS-000300,2024-06-17 11:53:00,/products,Facebook,Tablet,UK,187,True,1
SESS-000301,2024-07-21 06:10:00,/products,Facebook,Tablet,France,194,True,1
SESS-000302,2024-09-25 16:42:00,/pricing,LinkedIn,Tablet,Netherlands,337,False,2
SESS-000303,2024-07-22 15:14:00,/blog,Facebook,Mobile,UK,140,False,5
SESS-000304,2024-04-08 22:31:00,/features,Facebook,Tablet,Canada,345,False,4
SESS-000305,2024-12-16 04:45:00,/contact,Email,Tablet,Canada,263,True,1
SESS-000306,2024-10-16 23:10:00,/blog,Direct,Desktop,France,149,True,1
SESS-000307,2024-06-25 13:24:00,/features,Email,Desktop,Spain,266,False,4
SESS-000308,2024-07-16 18:53:00,/features,Direct,Desktop,Germany,90,False,5
SESS-000309,2024-12-18 11:34:00,/features,Email,Mobile,France,98,False,4
SESS-000310,2024-05-30 20:02:00,/blog,LinkedIn,Desktop,Netherlands,713,False,8
SESS-000311,2024-07-03 16:48:00,/blog,Google,Desktop,France,771,False,3
SESS-000312,2024-02-15 05:32:00,/contact,Direct,Desktop,Canada,172,False,7
SESS-000313,2024-06-14 20:36:00,/pricing,Email,Desktop,Spain,329,False,4
SESS-000314,2024-06-18 13:41:00,/blog,Twitter,Mobile,Netherlands,649,False,8
SESS-000315,2024-04-18 11:11:00,/blog,Referral,Desktop,Canada,336,False,10
SESS-000316,2024-04-10 07:15:00,/pricing,Google,Desktop,Spain,130,False,3
SESS-000317,2024-06-22 21:39:00,/about,Twitter,Desktop,USA,172,True,1
SESS-000318,2024-01-24 05:45:00,/home,Referral,Mobile,Spain,163,False,9
SESS-000319,2024-06-25 11:13:00,/home,Facebook,Mobile,Canada,255,False,8
SESS-000320,2024-09-02 17:39:00,/features,Google,Tablet,Canada,289,False,4
SESS-000321,2024-01-15 20:24:00,/blog,Google,Desktop,Canada,237,False,8
SESS-000322,2024-03-13 00:31:00,/blog,Twitter,Desktop,Canada,339,True,1
SESS-000323,2024-01-06 03:11:00,/support,Google,Desktop,France,1103,True,1
SESS-000324,2024-07-19 07:00:00,/pricing,Google,Mobile,USA,573,False,9
SESS-000325,2024-04-14 16:21:00,/about,Google,Desktop,UK,42,False,5
SESS-000326,2024-07-14 19:29:00,/support,Facebook,Tablet,France,259,False,6
SESS-000327,2024-08-03 07:23:00,/contact,Google,Tablet,Canada,219,False,5
